Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
509069,Infomedia Press Limited,INFOMEDIA,INFOMEDIA PRESS LTD.,Active,T ,10.00,INE669A01022,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication,
509073,Hathway Bhawani Cabletel & Datacom,HATHWAYB,HATHWAY BHAWANI CABLETEL & DATACOM LTD.,Active,XT,10.00,INE525B01016,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,
509077,Pressman Advertising Limited,PRESSMN,Pressman Advertising Limited,Active,B ,2.00,INE980A01023,Advertising & Media Agencies,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies,
509079,Gufic BioSciences Ltd.,GUFICBIO,GUFIC BIOSCIENCES LTD.,Active,B ,1.00,INE742B01025,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
509084,Photon Capital Advisors Ltd,PHOTON,PHOTON CAPITAL ADVISORS LTD.,Active,XT,10.00,INE107J01016,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
509099,"Oswal Leasing Ltd.,",OSWALEA,OSWAL LEASING LTD.,Active,P ,10.00,INE811Q01018,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
509152,GRP Limited,GRPLTD,GRP LTD.,Active,B ,10.00,INE137I01015,Rubber,Equity,Industrials,Capital Goods,Industrial Products,Rubber,
509162,"Indag Rubber Ltd.,",INDAG,INDAG RUBBER LTD.-$,Active,X ,2.00,INE802D01023,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
509196,"M.M. Rubber Company Ltd.,",MMRUBBR-B,MM RUBBER COMPANY LTD.,Active,X ,2.00,INE159E01026,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
509220,PTL Enterprises Ltd,PTL,PTL ENTERPRISES LTD.-$,Active,B ,1.00,INE034D01049,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
509243,"TVS Srichakra Ltd.,",TVSSRICHAK,TVS SRICHAKRA LTD.-$,Active,B ,10.00,INE421C01016,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
509423,Sanathnagar Enterprises Limited,SEL,Sanathnagar Enterprises Limited,Active,XT,10.00,INE367E01033,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
509438,Benares Hotels Ltd,BENARAS,BENARES HOTELS LTD.,Active,X ,10.00,INE664D01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
509449,"Bhagwati Oxygen Ltd.,",BHAGWOX,BHAGWATI OXYGEN LTD.,Active,XT,10.00,INE026I01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
509470,BOMBAY OXYGEN INVESTMENTS LIMITED,BOMOXY-B1,Bombay Oxygen Investments Ltd,Active,X ,100.00,INE01TL01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
509472,Cravatex Ltd.,CRAVATEX,CRAVATEX LTD.,Active,X ,10.00,INE145E01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
509480,Berger Paints India Ltd,BERGEPAINT,BERGER PAINTS INDIA LTD.,Active,A ,1.00,INE463A01038,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
509486,"Caprihans India Ltd.,",CAPRIHANS,CAPRIHANS INDIA LTD.-$,Active,X ,10.00,INE479A01018,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
509488,Graphite India Ltd.,GRAPHITE,GRAPHITE INDIA LTD.,Active,A ,2.00,INE371A01025,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,
509496,ITD Cementation India Ltd,ITDCEM,ITD CEMENTATION INDIA LTD.,Active,B ,1.00,INE686A01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,
509525,"Empire Industries Ltd.,",EMPIND,EMPIRE INDUSTRIES LTD.,Active,X ,10.00,INE515H01014,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,
509546,Graviss Hospitality Ltd,GRAVISSHO,GRAVISS HOSPITALITY LTD.,Active,X ,2.00,INE214F01026,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
509557,GARWARE TECHNICAL FIBRES LIMITED,GARFIBRES,Garware Technical Fibres Ltd,Active,A ,10.00,INE276A01018,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
509563,"Garware Marine Industries Ltd.,",GARWAMAR,GARWARE MARINE INDUSTRIES LTD.,Active,X ,10.00,INE925D01014,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
509567,"Goa Carbon Ltd.,",GOACARBON,GOA CARBON LTD.-$,Active,B ,10.00,INE426D01013,Industrial Minerals,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,
509597,"Hardcastle & Waud Mfg. Co. Ltd.,",HARDCAS,HARDCASTLE & WAUD MFG.CO.LTD.,Active,XT,10.00,INE722D01015,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
509631,HEG Ltd.,HEG,HEG LTD.,Active,A ,10.00,INE545A01016,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,
509635,Hindustan Composites Ltd,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,Active,B ,5.00,INE310C01029,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
509650,"Hindustan Housing Co. Ltd.,",ZHINDHSG,HINDUSTAN HOUSING CO.LTD.,Active,XT,25.00,INE083O01019,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
509675,HIL Limited,HIL,HIL LTD.,Active,A ,10.00,INE557A01011,Furniture- Home Furnishing,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing",
509692,Indian Card Clothing Ltd,INDIANCARD,INDIAN CARD CLOTHING CO.LTD.,Active,B ,10.00,INE061A01014,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
509709,"International Conveyors Ltd.,",INTLCONV*,INTERNATIONAL CONVEYORS LTD.,Active,B ,1.00,INE575C01027,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,
509715,"Jay Shree Tea & Industries Ltd.,",JAYSHREETEA,JAY SHREE TEA & INDUSTRIES LTD.,Active,B ,5.00,INE364A01020,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,
509760,Modern Shares and Stockbrokers Ltd.,MODRNSH,MODERN SHARES & STOCKBROKERS LTD.,Active,XT,10.00,INE370A01019,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
509782,"Oseaspre Consultants Ltd.,",OSEASPR,OSEASPRE CONSULTANTS LTD.,Active,X ,10.00,INE880P01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
509820,HUHTAMAKI INDIA LIMITED,HUHTAMAKI,Huhtamaki India Ltd,Active,B ,2.00,INE275B01026,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
509835,"Premier Synthetics Ltd.,",PREMSYN,PREMIER SYNTHETICS LTD.,Active,X ,10.00,INE940N01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
509845,"R.J. Shah & Co. Ltd.,",RJSHAH,R.J.SHAH & CO.LTD.,Active,P ,10.00,INE712Z01019,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
509870,"Shah Construction Co. Ltd.,",SHAHCON,SHAH CONSTRUCTION CO.LTD.,Active,XT,100.00,INE02C301011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
509874,Shalimar Paints Ltd.,SHALPAINTS,SHALIMAR PAINTS LTD.-$,Active,B ,2.00,INE849C01026,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
509887,"Sinnar Bidi Udyog Ltd.,",SINNAR,SINNAR BIDI UDYOG LTD.,Active,XT,5.00,INE896E01023,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,
509895,Hindoostan Mills Ltd.,HINDMILL,HINDOOSTAN MILLS LTD.,Active,X ,10.00,INE832D01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
509910,"Southern Gas Ltd.,",ZSOUTGAS,SOUTHERN GAS LTD.,Active,P ,100.00,INE532U01012,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
509917,"Technojet Consultants Ltd.,",TECHCON,TECHNOJET CONSULTANTS LTD.,Active,X ,10.00,INE881P01013,Consulting Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services,
509930,"Supreme Industries Ltd.,",SUPREMEIND,SUPREME INDUSTRIES LTD.,Active,A ,2.00,INE195A01028,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
509945,"Thacker & Co. Ltd.,",THACKER,THACKER & CO.LTD.,Active,XT,1.00,INE077P01034,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
509960,"U.P. Hotels Ltd.,",UPHOT,U.P.HOTELS LTD.,Active,XT,10.00,INE726E01014,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
509966,"VST Industries Ltd.,",VSTIND,VST INDUSTRIES LTD.,Active,A ,10.00,INE710A01016,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,
510245,"Swasti Vinayaka Synthetics Ltd.,",SWASTIVI,SWASTI VINAYAKA SYNTHETICS LTD.,Active,XT,1.00,INE804A01025,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
511000,Madhusudan Securities Ltd,MADHUSE,MADHUSUDAN SECURITIES LTD.,Active,X ,10.00,INE856D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511012,Yamini Investments Company Limited,YAMNINV,YAMINI INVESTMENTS COMPANY LTD.,Active,XT,1.00,INE457N01025,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511016,"Premier Capital Services Ltd.,",PREMCAP,PREMIER CAPITAL SERVICES LTD.,Active,XT,1.00,INE946K01023,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,
511018,MILGREY FINANCE & INVESTMENT LTD,ZMILGFIN,Milgrey Finance & Investments Ltd,Active,XT,10.00,INE679T01013,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
511034,"Jindal Drilling & Industries Ltd.,",JINDRILL,JINDAL DRILLING & INDUSTRIES LTD.,Active,B ,5.00,INE742C01031,Offshore Support Solution Drilling,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,
511048,"Kusam Electrical Industies Ltd.,",KUSUMEL,KUSAM ELECTRICAL INDUSTRIES LTD.,Active,XT,10.00,INE175Q01018,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
511060,"Jumbo Finance Ltd.,",JUMBFNL,JUMBO FINANCE LTD.,Active,XT,10.00,INE122N01017,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
511066,"Sakthi Finance Ltd.,",SAKTHIFIN,SAKTHI FINANCE LTD.,Active,X ,10.00,INE302E01014,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511074,EASY FINCORP LIMITED,EASYFIN,Easy Fincorp Ltd,Active,Z ,10.00,INE407F01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511076,Sat Industries Ltd,SATINDLTD,SAT INDUSTRIES LTD.-$,Active,B ,2.00,INE065D01027,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511092,JMD Ventures Limited,JMDVL,JMD Ventures Ltd,Active,X ,10.00,INE047E01031,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition",
511096,"Tivoli Construction Ltd.,",TVOLCON,TIVOLI CONSTRUCTION LTD.,Active,XT,10.00,INE747V01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
511108,Shiva Texyarn Ltd.,SHIVTEX,SHIVA TEXYARN LTD.,Active,B ,10.00,INE705C01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
511110,V.B.Desai Financial Services Ltd,VBDESAI,V.B.DESAI FINANCIAL SERVICES LTD.,Active,X ,10.00,INE848D01018,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511116,Quadrant Televentures Limited,QUADRANT,Quadrant Televentures Limited-$,Active,X ,1.00,INE527B01020,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,
511122,"First Custodian Fund (India) Ltd.,",1STCUS,FIRST CUSTODIAN FUND (INDIA) LTD.,Active,XT,10.00,INE609B01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511131,Kamanwala Housing Construction Ltd,KAMANWALA,KAMANWALA HOUSING CONSTRUCTION LTD.,Active,X ,10.00,INE344D01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
511147,WSFX Global Pay Limited,WSFX,WSFx Global Pay Ltd,Active,X ,10.00,INE549D01012,Financial Technology (Fintech),Equity,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),
511153,Anjani Foods Limited,ANJANIFOODS,Anjani Foods Ltd,Active,XT,2.00,INE096I01021,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
511169,RKD AGRI & RETAIL LIMITED,RKDAGRRTL,RKD Agri & Retail Ltd,Active,P ,1.00,INE552N01023,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511176,Parshwanath Corporation Limited,PARSHWANA,PARSHWANATH CORPORATION LTD.,Active,X ,10.00,INE635I01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
511185,"Suryakripa Finance Ltd.,",SURYAKR,SURYAKRIPA FINANCE LTD.,Active,XT,10.00,INE381N01019,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,
511187,Millennium Online Solutions (India) Ltd,MILLENNIUM,Millennium Online Solutions ( India ) Ltd,Active,XT,1.00,INE570N01025,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
511194,"ICDS Ltd.,",ICDSLTD,ICDS LTD.,Active,T ,10.00,INE613B01010,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
511196,"Can Fin Homes Ltd.,",CANFINHOME,CAN FIN HOMES LTD.,Active,A ,2.00,INE477A01020,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
511200,Munoth Capital Market Ltd,MUNCAPM,MUNOTH CAPITAL MARKET LTD.,Active,XT,5.00,INE910G01027,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
511208,IL & FS Investment Managers Ltd.,IVC,IL&FS INVESTMENT MANAGERS LTD.,Active,B ,2.00,INE050B01023,Asset Management Company,Equity,Financial Services,Financial Services,Capital Markets,Asset Management Company,
511218,Shriram Finance Limited,SHRIRAMFIN,Shriram Finance Ltd,Active,A ,10.00,INE721A01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511243,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Active,A ,2.00,INE121A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511246,BOMBAY TALKIES LIMITED,BOMTALKIES,Bombay Talkies Ltd,Active,XT,1.00,INE910D01024,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition",
511254,Sagar Systech Ltd.,SAGARSYST,SAGAR SYSTECH LTD.,Active,XT,10.00,INE771Z01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511260,ID INFO BUSINESS SERVICES LTD.,IDINFO,ID Info Business Services Ltd,Active,XT,10.00,INE088P01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511333,VLS Finance Limited,VLSFINANCE*,VLS FINANCE LTD.,Active,B ,10.00,INE709A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511355,India Cements Capital Limited,INDCEMCAP,INDIA CEMENTS CAPITAL LTD.,Active,X ,10.00,INE429D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511359,AD-Manum Finance Ltd,ADMANUM,AD-MANUM FINANCE LTD.,Active,XT,10.00,INE556D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511377,Mehta Integrated Finance Ltd.,MEHIF,MEHTA INTEGRATED FINANCE LTD.,Active,XT,10.00,INE240B01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511391,Inter Globe Finance Ltd.,INTRGLB,INTER GLOBE FINANCE LTD.,Active,X ,10.00,INE661M01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511401,MUNOTH COMMUNICATION LIMITED,MCLTD,Munoth Communication Ltd,Active,XT,10.00,INE410E01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511411,SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,SHRISTI,SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,Active,X ,10.00,INE472C01027,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
511413,CREST VENTURES LIMITED,CREST,CREST VENTURES LIMITED,Active,B ,10.00,INE559D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511431,Vakrangee Limited,VAKRANGEE,Vakrangee Limited-$,Active,A ,1.00,INE051B01021,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,
511441,Gujarat Credit Corporation Ltd.,GUJCRED,GUJARAT CREDIT CORPORATION LTD.,Active,XT,10.00,INE034B01019,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511447,Sylph Technologies Ltd,SYLPH,SYLPH TECHNOLOGIES LTD.,Active,XT,10.00,INE706F01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,
511451,Dharani Finance Ltd.,DHARFIN,DHARANI FINANCE LTD.,Active,X ,10.00,INE899D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511463,Alexander Stamps And Coin Limited,ALEXANDER,Alexander Stamps And Coin Ltd,Active,XT,10.00,INE191N01012,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,
511473,Indbank Merchant Banking Services L,INDBANK,INDBANK MERCHANT BANKING SERVICES LTD.,Active,B ,10.00,INE841B01017,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
511493,VCK Capital Markets Services Ltd.,VCKCAP,VCK CAPITAL MARKET SERVICES LTD.,Active,XT,10.00,INE488C01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511501,Bharat Bhushan Share & Commodity Brokers Ltd.,BHARAT,BHARAT BHUSHAN SHARE & COMMODITY BROKERS LTD.,Active,X ,10.00,INE900A01013,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511505,Capital Trust Ltd.,CAPITALT,CAPITAL TRUST LTD.,Active,B ,10.00,INE707C01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511507,Ushakiran Finance Ltd.,USHAKIRA,USHAKIRAN FINANCE LTD.,Active,XT,10.00,INE697C01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511509,Vivo Bio tech Ltd.,VIVOBIOT,VIVO BIO TECH LTD.,Active,X ,10.00,INE380K01017,Biotechnology,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,
511523,Veerhealth Care Limited,VEERHEALTH,Veerhealth Care Limited,Active,X ,10.00,INE882C01035,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
511525,Pan India Corporation Ltd,PANINDIAC,PAN INDIA CORPORATION LTD.,Active,XT,10.00,INE376A01032,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511533,Sahara HousingFina Corporation Ltd.,SAHARAHOUS,SAHARA HOUSINGFINA CORPORATION LTD.,Active,X ,10.00,INE135C01012,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
511535,NDA Securities ltd.,NDASEC,NDA SECURITIES LTD.,Active,X ,10.00,INE026C01013,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511539,Supra Trends Limited,SUPRATRE,Supra Trends Limited,Active,XT,10.00,INE533B01028,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511543,GSB Finance Ltd.,GSBFIN,GSB FINANCE LTD.,Active,X ,10.00,INE777C01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511549,Morarka Finance Ltd.,MORARKFI,MORARKA FINANCE LTD.,Active,X ,10.00,INE367A01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511551,Monarch Networth Capital Limited,MONARCH,Monarch Networth Capital Ltd,Active,B ,10.00,INE903D01011,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
511557,Pro Fin Capital Services Ltd,PROFINC,PRO FIN CAPITAL SERVICES LTD.,Active,X ,1.00,INE732K01027,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
511559,Times Guaranty Ltd.,TIMESGTY,TIMES GUARANTY LTD.,Active,B ,10.00,INE289C01025,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511571,Som Datt Finance Corporation Ltd.,SODFC,SOM DATT FINANCE CORPORATION LTD.,Active,XT,10.00,INE754C01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511577,Savani Financials Ltd.,SAVFI,SAVANI FINANCIALS LTD.,Active,XT,10.00,INE304E01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511585,Regency Trust Ltd.,REGTRUS,REGENCY TRUST LTD.,Active,X ,1.00,INE425F01028,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511589,Avonmore Capital & Management Services Limited,AVONMORE,Avonmore Capital & Management Services Limited,Active,B ,10.00,INE323B01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511593,Libord Finance Limited,LIBORDFIN,Libord Finance Ltd,Active,X ,10.00,INE212B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511601,Yash Management & Satellite Ltd.,YASHMGM,YASH MANAGEMENT & SATELLITE LTD.,Active,XT,10.00,INE216B01012,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
511605,Arihant Capital Markets Ltd.,ARIHCAPM,ARIHANT CAPITAL MARKETS LTD.,Active,B ,1.00,INE420B01036,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,
511609,ISL Consulting Ltd,ISLCONSUL,ISL CONSULTING LTD.,Active,X ,5.00,INE569B01022,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
511611,DCM Financial Services Ltd.,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,Active,B ,10.00,INE891B01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
511618,JIK Industries Ltd,JIKIND,JIK INDUSTRIES LTD.,Active,Z ,10.00,INE026B01049,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
511626,R.R.Financial Consultants Ltd.,RRFIN,RR FINANCIAL CONSULTANTS LTD.,Active,XT,10.00,INE229D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511628,IM+ Capitals Limited,IMCAP,IM+ Capitals Limited,Active,XT,10.00,INE417D01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511630,Sambhaav Media Ltd.,SAMBHAAV,SAMBHAAV MEDIA LTD.,Active,B ,1.00,INE699B01027,Print Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media,
511644,Omega Interactive Technologies Ltd.,OMEGAIN,OMEGA INTERACTIVE TECHNOLOGIES LTD.,Active,XT,10.00,INE113B01029,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,
511654,Sugal & Damani Share Brokers Ltd.,SUGALDAM,SUGAL & DAMANI SHARE BROKERS LTD.,Active,X ,10.00,INE309D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511658,Nettlinx Ltd.,NETTLINX,NETTLINX LTD.,Active,X ,10.00,INE027D01019,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,
511672,Scan Steels Limited,SCANSTL,Scan Steels Limited,Active,X ,10.00,INE099G01011,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
511676,GIC Housing Finance Ltd.,GICHSGFIN,GIC HOUSING FINANCE LTD.,Active,B ,10.00,INE289B01019,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
511688,Mathew Easow Research Securities Lt,MATHEWE,MATHEW EASOW RESEARCH SECURITIES LTD.,Active,X ,10.00,INE963B01019,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
